,file,language,header1,header2,paragraph
0,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"Follow basic safety precautions, including:"
1,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"This appliance can be used by persons with reduced physical, sensory or mental capabilities or lack of experience and knowledge if they have been supervised/instructed and understand the hazards involved."
2,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,Children must not use or play with the appliance.
3,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,Keep the appliance and cable out of reach of children.
4,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,Misuse of the appliance may cause injury.
5,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,h The surfaces of the appliance will get hot. Residual heat will keep the surfaces hot after use.
6,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,Don’t immerse the body of the appliance in liquid.
7,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"If the cable is damaged, it must be replaced by the manufacturer, its service agent, or someone similarly qualified, to avoid hazard."
8,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,The surface of the heating element is subject to residual heat after use.
9,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,The coffee-maker shall not be placed in a cabinet during use.
10,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"Use the appliance according to these instructions. Any misuse may cause potential injury, electric shock or other hazards."
11,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"This appliance can be used by persons with reduced physical, sensory or mental capabilities or lack of experience and knowledge if they have been given supervision or instruction concerning use of the appliance in a safe way and understand the hazards involved."
12,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,This appliance is intended to be used in household and similar applications such as:
13,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"• staff kitchen areas in shops, offices and other working environments;"
14,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"• by clients in hotels, motels and other residential type environments;"
15,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,• bed and breakfast type environments;
16,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,• farm houses.
17,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"b Do not use this appliance near bathtubs, showers, basins or other vessels containing water."
18,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,"• Sit the appliance on a stable, level, heat-resistant surface."
19,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,• Keep the appliance and cable away from the edges of worktops.
20,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,• Don’t use accessories or attachments other than those we supply.
21,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,• Don’t use the appliance for any purpose other than those described in these instructions.
22,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,IMPORTANT SAFEGUARDS,,• Don’t use the appliance if it’s damaged or malfunctions.
23,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,1. 
24,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Coffee bean hopper and lid2. 
25,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Grind control3. 
26,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Water reservoir4. 
27,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Display5. 
28,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Control panel6. 
29,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Hot plate7. 
30,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Carafe8. 
31,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Filter holder chamber9. 
32,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Filter holder10. Paper filter #4 (not supplied)11. 
