File;Question;Context
AEG/cm4_1_6st/cm4_1_6st_bedienungsanleitung.pdf;When should I decalcify my machine?;Decalcifying: Recommended 1x every 3 months With decalcifying agent
;Can I use spare parts of other manufacturers?;Thank you for choosing an AEG product. In order to ensure the best results, always use original AEG accessories and spare parts. They have been designed especially for your product. This product is designed with the environment in mind. All plastic parts are marked for recycling purposes. Visit our website to: Get usage advice, brochures, trouble shooter, service information: www.aeg.com/webselfservice Register your product for better service: www.registeraeg.com Buy Accessories and Consumables for your appliance: www.aeg.com/shop CUSTOMER CARE AND SERVICE When contacting Service, ensure that you have the following data available. The information can be found on the rating plate. Model, PNC, Serial Number. Warning / Caution-Safety information General information and tips Environmental information
;How should the machine be placed when starting it for the first time?;GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.
;How do you clean the machine before using it for the first time?;
;What is the water-level indicator inside the water tank used for?;
;How much ground coffee should be used in the filter basket?;
;How is the strength of the coffee adjusted?;
;How long will the coffee stay hot on the warming plate?;
;What is the Safety Auto-Off function and when does it activate?;
;What happens if the jug is removed while the machine is brewing coffee?;
;What is the Aroma Selector and how is it used?;
;How should the outer surfaces of the machine be cleaned?;CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process
;Can the coffee jug and lid be washed in the dishwasher?;
;What cleaners should not be used to clean the machine?;
;How do you remove the filter holder for cleaning?;
;How often should the machine be decalcified?;
;How do you decalcify the machine?;
;How do you rinse the coffee jug, lid, and filter holder after decalcifying?;
;How many times should the machine be run with plain water after decalcifying?;
;Who should not use the appliance without supervision or instruction?;"SAFETY ADVICE
This appliance is not intended for use by persons (including children) with 
reduced physical, sensory or mental capabilities, or lack of experience and 
knowledge, unless they have been given supervision or instruction concerning 
use of the appliance by a person responsible for their safety. 
Children should be supervised to ensure that they do not play with the appliance.
This appliance can be used by children aged from 8 years and above and persons 
with reduced physical, sensory or mental capabilities or lack of experience and 
knowledge if they have been given supervision or instruction concerning use of 
the appliance in a safe way and understand the hazards involved. Children shall 
not play with the appliance. 
Cleaning and user maintenance shall not be made by children without supervision.
CLEANING AND CARE
Switch the machine off and unplug the power cord. Wipe all outer surfaces 
with a damp cloth.
Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive 
cleaners, and never immerse the machine in liquid!
To clean the filter holder (E), lift up the handle and remove the filter holder. 
To clean the filter valve thoroughly, rotate it several times while it is being rinsed.
Decalcifying is recommended regularly, depending on water hardness. Fill the 
tank with water and decalcifier according to product instructions, then follow 
steps 9 and 10.
Place the coffee jug (F) with its lid onto the warming plate (G). Allow the 
decalcifier to take effect for about 15 minutes, then switch the machine on. 
Switch it off when the solution has finished flowing through. If necessary repeat 
the decalcifying process.
Allow the machine to run at least twice with plain water. Then thoroughly rinse 
the coffee jug (F), jug lid and filter holder (E) under running water, activate the 
filter valve repeatedly during the rinse process.
The appliance may only be connected to a power supply whose voltage and 
frequency comply with the specifications on the rating plate! Never use or pick up 
the appliance if – the supply cord is damaged, – the housing is damaged. 
The appliance must only be connected to an earthed socket.
If necessary an extension cable suitable for 10 A can be used. If the appliance or 
the supply cord is damaged, it must be replaced by the manufacturer, its service 
agent or similarly qualified person, in order to avoid hazard.
Always place the appliance on a flat, level surface.
Never leave the appliance unattended while connected to the supply mains.
The appliance must be switched off and the mains plug withdrawn each time after 
use, before cleaning and maintenance.
The appliance and accessories become hot during operation. Use only designated 
handles and knobs. Allow to cool down before or storage. The mains cable must 
not come into contact with any hot parts of the appliance.
Do not immerse the appliance in water or any other liquid. Do not exceed the 
maximum filling volume as indicated on the appliances. Do not use or place the 
appliance on a hot surface or near source of heat.
This appliance is intended to be used in household and similar applications such as:
– staff kitchen areas in shops, offices and other working environments,
– farm houses,
– by clients in hotels, motels and other residential type environments,
– bed and breakfast type environments.
The coffee maker shall not be placed in a cabinet when in use.
No action is needed to adapt the product to 50 or 60Hz.
The product will adjust itself."
;Who should be supervised when using the appliance?;
;At what age can children use the appliance with supervision or instruction?;
;What should be done to ensure children do not play with the appliance?;
;Can children clean and perform user maintenance on the appliance without supervision?;
;What type of cleaners should not be used to clean the appliance?;
;How do you remove the filter holder for cleaning?;
;How often should the appliance be decalcified?;
;How do you decalcify the appliance?;
;How do you rinse the coffee jug, lid, and filter holder after decalcifying?;
;What type of power supply can the appliance be connected to?;
;Who should replace the appliance or supply cord if they are damaged?;
;Where should the appliance be placed when in use?;
;What should be done with the appliance before cleaning and maintenance?;
;What should be done with the appliance after use?;
;In what environments can the appliance be used?;
;Can the appliance be placed in a cabinet when in use?;
;Does the appliance need to be adapted for use with 50 or 60Hz power supply?;
;How should the packaging be disposed of?;DISPOSAL Recycle the materials with the symbol. Put the packaging in applicable containers to recycle it. Help protect the environment and human health and to recycle waste of electrical and electronic appliances. This symbol on the product indicates that this product contains a battery which shall not be disposed with normal household waste. This symbol on the product or on its packaging indicates that the product may not be treated as household waste. To recycle your product, please take it to an official collection point or to an AEG service center that can remove and recycle the battery and electric parts in a safe and professional way. Follow your country’s rules for the separate collection of electrical products and rechargeable batteries. AEG reserves the right to change products, information and specifications without notice.
;What does the symbol on the product indicate about the product's disposal?;
;What should be done with the product if it contains a battery?;
;Where can the product be taken to be recycled?;
;What should be done with the product according to the rules in the country it is located in?;
;Does AEG have the right to change products, information, and specifications without notice?;
AEG/cm6_1_5st/cm6_1_5st_bedienungsanleitung.pdf;How should the device be cleaned before using it for the first time?;Getting started Wipe the device with a clean, damp cloth. Rinse the glass jug (6) and the filter insert (5a) with a little mild detergent and water. Prior to preparing coffee for the first time, perform one brew with water only. Fill the freshwater tank up to the top cup marking with cold water. Close the lid. Press to start the appliance. Allow the water to flow through into the coffee jug. When brewing is finished, empty the coffee jug. 
;What should be done with the glass jug and filter insert before preparing coffee for the first time?;
;How much water should be added to the freshwater tank for the first brew?;
;How do you start the appliance and allow the water to flow through into the coffee jug?;
;What should be done with the coffee jug after the first brew is finished?;
